premise,hypothesis,label,unique_id
Two children play outside in a field.,A brother and sister chase each other in a field.,1,3_14a
Two children play outside in a field.,Kids are playing outdoors.,0,3_14b
Two children play outside in a field.,Two children are reading at their desks.,2,3_14c
Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,The old men are discussing the weather.,1,3_19a
Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,Two old men in winter coats talk outside.,0,3_19b
Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,The old men are wearing raincoats.,2,3_19c
A man in a Tour De Force shirt is working on a bicycle.,A woman is biking.,2,3_56a
A man in a Tour De Force shirt is working on a bicycle.,A man is working on his favorite bike.,1,3_56b
A man in a Tour De Force shirt is working on a bicycle.,A man is working on a bike.,0,3_56c
A dog jumps to catch a toy in the snow.,A dog jumps to catch a toy in Waikiki.,2,3_71a
A dog jumps to catch a toy in the snow.,A dog jumps to catch a ball in the snow.,1,3_71b
A dog jumps to catch a toy in the snow.,An animal is jumping in a place that is not hot.,0,3_71c
A man on a high ladder is painting the outside of a house.,A man outside on a high ladder is painting the outside of a house.,0,3_107a
A man on a high ladder is painting the outside of a house.,A man is giving his house a fresh coat of paint.,1,3_107b
A man on a high ladder is painting the outside of a house.,Picasso is doodling in a notebook.,2,3_107c
An older man with a cane stands against a wall.,A disabled man is resting his painful back,1,3_117a
An older man with a cane stands against a wall.,A person is standing,0,3_117b
An older man with a cane stands against a wall.,A man is sitting on the train,2,3_117c
"Two girls, wearing protective goggles, in a laboratory going through a book.",The girls are dissecting a frog.,2,3_213a
"Two girls, wearing protective goggles, in a laboratory going through a book.",The girls are looking at a book.,0,3_213b
"Two girls, wearing protective goggles, in a laboratory going through a book.",The book is about chemistry.,1,3_213c
Cheerleaders have made three people pyramids.,Football players have made three people pyramids.,2,3_236a
Cheerleaders have made three people pyramids.,Cheerleaders have made people pyramids.,0,3_236b
Cheerleaders have made three people pyramids.,Fit cheerleaders have made three people pyramids.,1,3_236c
Four children climbing up a snow covered hill.,Four children climb up an Icy palace in the Norwegian countryside,2,3_257a
Four children climbing up a snow covered hill.,Four children are climbing in the snow of a covered hill,1,3_257b
Four children climbing up a snow covered hill.,Four children are climbing on a snowy hill,0,3_257c
A young woman in striped turtleneck blouse is sitting in an office and working on an Apple computer.,The woman is naked,2,3_306a
A young woman in striped turtleneck blouse is sitting in an office and working on an Apple computer.,The woman is working on her day off,1,3_306b
A young woman in striped turtleneck blouse is sitting in an office and working on an Apple computer.,The woman is wearing clothes,0,3_306c
"A man in a blue sweater and brown pants, pushed a young girl wearing a white shirt and blue jeans on a scooter down the sidewalk.",The people are clothed,0,3_317a
"A man in a blue sweater and brown pants, pushed a young girl wearing a white shirt and blue jeans on a scooter down the sidewalk.",It is summer.,1,3_317b
"A man in a blue sweater and brown pants, pushed a young girl wearing a white shirt and blue jeans on a scooter down the sidewalk.",the man is sitting on the lawn.,2,3_317c
People in strange costumes in a play.,People perform in a play.,0,3_377a
People in strange costumes in a play.,People perform Little Red Riding Hood in a play.,1,3_377b
People in strange costumes in a play.,A group of people have lunch together.,2,3_377c
Two people stand by the water's edge.,A group of people are jogging.,2,3_484a
Two people stand by the water's edge.,A group of golfers are trying to retrieve a ball lost in the water hazard.,1,3_484b
Two people stand by the water's edge.,People are next to water.,0,3_484c
A small boy is standing next to a table in a classroom.,A small boy is in a classroom.,0,3_639a
A small boy is standing next to a table in a classroom.,A small boy stands on a table.,2,3_639b
A small boy is standing next to a table in a classroom.,A small boy is in a math class.,1,3_639c
People are playing in a football game.,People are dancing at a nightclub.,2,3_690a
People are playing in a football game.,People are playing football.,0,3_690b
People are playing in a football game.,Two teams are playing in the Super Bowl.,1,3_690c
People ascending and descending a steep set of stairs with a large nature formation in the background.,People are using the stairs.,0,3_776a
People ascending and descending a steep set of stairs with a large nature formation in the background.,The people are skipping rocks at the beach.,2,3_776b
People ascending and descending a steep set of stairs with a large nature formation in the background.,The people are exiting the building.,1,3_776c
Two boys dressed in ragged solid color clothing stand side by side while one holds an ax.,Two boys are marching in a parade.,2,3_813a
Two boys dressed in ragged solid color clothing stand side by side while one holds an ax.,Two boys are posing with an ax.,0,3_813b
Two boys dressed in ragged solid color clothing stand side by side while one holds an ax.,Two boys getting ready to chop a tree down.,1,3_813c
Man climbing working stairs of a house.,He is going up the stairs.,0,3_820a
Man climbing working stairs of a house.,He is taking the stairs to the bathroom on the second floor.,1,3_820b
Man climbing working stairs of a house.,He took the elevator.,2,3_820c
A woman is dancing on a stage.,A woman sitting in her seat.,2,3_870a
A woman is dancing on a stage.,A woman is moving around.,0,3_870b
A woman is dancing on a stage.,A woman is dancing at a club.,1,3_870c
A person on a yellow dirt bike is taking a jump.,A person driving a car.,2,3_905a
A person on a yellow dirt bike is taking a jump.,A person on a dirt bike.,0,3_905b
A person on a yellow dirt bike is taking a jump.,A man riding a dirt bike.,1,3_905c
Three young women are playing softball.,There are women playing a game.,0,3_977a
Three young women are playing softball.,Three women are watching a game of baseball on television.,2,3_977b
Three young women are playing softball.,There are three young women playing softball in a green field in front of a crowd of people.,1,3_977c
A couple seated at an outdoor cafe surrounded by empty seats.,A couple enjoying themselves in an outdoor cafe,0,3_1030a
A couple seated at an outdoor cafe surrounded by empty seats.,A couple feeling lonely in an outdoor cafe due to lack of people around them,1,3_1030b
A couple seated at an outdoor cafe surrounded by empty seats.,A coupel watching a movie in a living room,2,3_1030c
A Chinese man plays the drum in a band.,The band's drummer is African.,2,3_1042a
A Chinese man plays the drum in a band.,The band has a drummer.,0,3_1042b
A Chinese man plays the drum in a band.,The band is playing for a big crowd.,1,3_1042c
A man in a baseball cap is playing a shooting game in an arcade with a friend.,A man is playing an arcade game.,0,3_1052a
A man in a baseball cap is playing a shooting game in an arcade with a friend.,A man is playing an arcade game the mall.,1,3_1052b
A man in a baseball cap is playing a shooting game in an arcade with a friend.,A man is working at his office.,2,3_1052c
A young boy and girl sitting together in a garden with a bucket between them.,The children are riding down the hill in a bobsled.,2,3_1181a
A young boy and girl sitting together in a garden with a bucket between them.,The children are helping their mother with her gardening.,1,3_1181b
A young boy and girl sitting together in a garden with a bucket between them.,There are two children in this picture.,0,3_1181c
A man in white swimming trunks rides a wind sail.,The man is swimming across the river.,2,3_1254a
A man in white swimming trunks rides a wind sail.,The man is crossing the lake using a wind sail.,1,3_1254b
A man in white swimming trunks rides a wind sail.,The man is riding on a wind sail.,0,3_1254c
"Four males of varying ages carve out designs on large white slabs in a messy, open to air workshop.",Four men carving.,0,3_1269a
"Four males of varying ages carve out designs on large white slabs in a messy, open to air workshop.",Five women carving.,2,3_1269b
"Four males of varying ages carve out designs on large white slabs in a messy, open to air workshop.",Four men carving in wood.,1,3_1269c
A member of ZZ Top is playing a guitar covered with fur on a stage with a flashy microphone and stand in front of him.,Kid rock playing a guitar.,2,3_1303a
A member of ZZ Top is playing a guitar covered with fur on a stage with a flashy microphone and stand in front of him.,Billy Gibbons playing a guitar.,1,3_1303b
A member of ZZ Top is playing a guitar covered with fur on a stage with a flashy microphone and stand in front of him.,A member of ZZ top playing a guitar.,0,3_1303c
Someone wearing a white hat is sitting next to some baskets of produce.,"There is watermelon, apples and strawberries in the basket.",1,3_1308a
Someone wearing a white hat is sitting next to some baskets of produce.,The person is wearing a black hat.,2,3_1308b
Someone wearing a white hat is sitting next to some baskets of produce.,There is produce in the baskets.,0,3_1308c
A man wearing a beret and tinted glasses stands in front of a microphone.,A man broke his tinted glasses.,2,3_1371a
A man wearing a beret and tinted glasses stands in front of a microphone.,A man have beret and tinted glasses.,0,3_1371b
A man wearing a beret and tinted glasses stands in front of a microphone.,A man stands in front of microphone to listen music.,1,3_1371c
A sad woman in a black shirt walking down the street.,The woman is crying.,1,3_1424a
A sad woman in a black shirt walking down the street.,The woman is sad.,0,3_1424b
A sad woman in a black shirt walking down the street.,The woman is wearing white.,2,3_1424c
A beautiful view of the mountains on a snowy day.,A beautiful view of the mountains on a sunny and snowy day.,1,3_1445a
A beautiful view of the mountains on a snowy day.,A beautiful view of the mountains on a mid-summer night.,2,3_1445b
A beautiful view of the mountains on a snowy day.,A view of the mountains on a snowy day.,0,3_1445c
"Female with black hair, wearing pink striped winter gloves and gray coat, smiling broadly, a newspaper tucked under her arm.",A woman is holding a newspaper.,0,3_1455a
"Female with black hair, wearing pink striped winter gloves and gray coat, smiling broadly, a newspaper tucked under her arm.","Female with red hair, wearing blue striped winter gloves and a red coat, smiling broadly.",2,3_1455b
"Female with black hair, wearing pink striped winter gloves and gray coat, smiling broadly, a newspaper tucked under her arm.",A woman is traveling on a cold day.,1,3_1455c
"A girl in a yellow shirt leans against a tree as her friends climb a steep, rocky hill.",A girl leans against an oak tree.,1,3_1502a
"A girl in a yellow shirt leans against a tree as her friends climb a steep, rocky hill.",A girl climbs a tree.,2,3_1502b
"A girl in a yellow shirt leans against a tree as her friends climb a steep, rocky hill.",A girl leans against a tree.,0,3_1502c
Three people sitting on a rock.,Three people were sitting on a brown rock.,1,3_1544a
Three people sitting on a rock.,Three people were sitting.,0,3_1544b
Three people sitting on a rock.,Three people were running.,2,3_1544c
Two boy scouts in jeans act on a stage with tents.,Two ten year old kids play with their dog at a park.,2,3_1644a
Two boy scouts in jeans act on a stage with tents.,Two boys act out a scene from a play during a benefit.,1,3_1644b
Two boy scouts in jeans act on a stage with tents.,Two adolescents standing on a stage.,0,3_1644c
A young skateboarder rolls down a graffiti-covered ramp.,A teenage boy is skateboarding at the park.,1,3_1658a
A young skateboarder rolls down a graffiti-covered ramp.,A young person is skateboarding down a ramp.,0,3_1658b
A young skateboarder rolls down a graffiti-covered ramp.,An old man is skateboarding down a ramp.,2,3_1658c
A man leans in to take a closer look at a painting in a museum.,A man sitting in front of a painting in a museum.,1,3_1665a
A man leans in to take a closer look at a painting in a museum.,A man looking at a painting in a museum.,0,3_1665b
A man leans in to take a closer look at a painting in a museum.,A man licks a painting at a museum.,2,3_1665c
couple in black possibly about to kiss on street.,They are eating strawberries on the farm,2,3_1776a
couple in black possibly about to kiss on street.,There are two people outside,0,3_1776b
couple in black possibly about to kiss on street.,They are about to kiss after he proposed to her,1,3_1776c
"Two woman sitting, gambling at a Casino.","Two men sitting, gambling at a Casino.",2,3_1833a
"Two woman sitting, gambling at a Casino.","Two people sitting, gambling at a Casino.",0,3_1833b
"Two woman sitting, gambling at a Casino.","Two sad women sitting, gambling at a Casino.",1,3_1833c
"Two men, one wearing black and one wearing white, are standing waiting for the train.",There are people waiting for a train,0,3_1864a
"Two men, one wearing black and one wearing white, are standing waiting for the train.",There are people waiting for a train outdoors,1,3_1864b
"Two men, one wearing black and one wearing white, are standing waiting for the train.",There are people driving to the train station,2,3_1864c
Two boys are at a BMX park and one is doing tricks on his bike.,A woman carries her baby onto an elevator.,2,3_1874a
