premise,hypothesis,label
number 2 and 3 mountain bikers ride on trail in the woods,The bikers are riding through the woods.,0
A woman wearing a brown coat is looking over the ocean.,The man in the blue suit was admiring the painting.,2
"2 Men in a classroom, one standing and one sitting while participating in a discussion.",Two men are not saying a word during a discussion.,2
three children gather around a red float.,The children are by a float.,0
A child carrying something in their shirt walks in the rain on the street.,A child is sitting on a bench.,2
Five kids are enjoying their camping while eating bread.,Children are sitting around a campfire.,1
A man using a scooter wearing a black leather jacket looking away from the camera.,A woman in a black jacket is riding a scooter,2
The giraffe's brown spots are separated by white lines.,The giraffe fur is solid brown.,2
A raft with a group of people is turned over after a crashing wave.,There car flipped on the road.,2
Two men playing hockey on the ice.,two men playing hockey,0
Three young children wearing winter coats and hats ride on the front end of a bicycle built for four while a blond adult wearing a black coat rides on the backseat.,4 people ride on a 4 man bicycle,0
A young woman holding a can is sticking out her tongue showing her pierced tongue.,A woman is smiling with her mouth closed.,2
A man kayaks in wavy water.,A man swims in water.,2
Carnivals are especially when visiting other countries.,the party is in the same country,2
The man on the chair is by the beach with stones.,"The man is sitting in his armchair, watching TV",2
Two elderly women sitting on a bench talking.,The women are young,2
man laying on bench holding leash of dog sitting on ground,A man takes a nap in the middle of walking his dog.,1
A boy in red shorts is jumping into a swimming pool with a red chair beside it.,A girl is a blue dress is running around the yard.,2
"At a campsite, people are enjoying each others company before what looks like hiking.",A group gets ready for a final hike before going home.,1
Four people stand in front of a stage with microphones.,They are watching a stage play from the audience.,2
This is a man with a goofy grin on his face.,A man is grinning.,0
The woman on the right is wearing a red scarf.,A woman is waiting for a train.,1
A man with a gray beard is standing next to a woman in a brown jacket.,A tall person standing.,2
A white dog is pouncing on a brown dog in a fenced in backyard.,Two dogs are fighting each other.,1
"People dressed for cool weather, eagerly waiting in line.",People are standing outside.,1
A referee in an international soccer match discussing a recent foul with players from each team.,The soccer match is only for local citizens.,1
An infant is swaddled in a blanket in a bassinet.,A new baby looks like a sausage wrapped up and placed in its portable bed.,1
A group of people are sitting next to each other with some wearing white shirts and blue vests with yellow sashes and the others wearing large fluffy white hats with a pink fluffy top.,There are some humans in colorful clothes who are sitting.,0
Two couples and four kids pose for a family picture.,The people are running from the building.,2
A girl is catching a baseball before an opponent touches base.,The girl is a good baseball player.,1
A young boy in a paper crown is sitting in a shopping basket.,A young boy that is not older than 18 is sitting.,0
Two men are sitting on their bags while other people walk in the background.,The man is not standing.,0
A collie running through the snow.,It is 100 degrees outside.,2
Two young girls sit in lawn chairs in the woods as a tin-wrapped potato cooks on a grill.,Girls are waiting for food to cook.,0
The teddy bear has white pads on the bottom of its feet.,The teddy bear has no feet.,2
"Four adults playing baseball, with a forest in the background.","With the desert in the background, four adults are telling stories about playing baseball.",2
little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,The boy is having fun.,1
A man is bowling using empty spray cans as pins in front of a wall covered in graffiti.,A woman bowling in a bowling alley,2
People running in a marathon.,A group of people are in a race outdoors.,0
a dog lying asleep outside of a house,The quick brown fox jumps over the lazy sleeping dog.,1
A man sitting on a bench next to his bike.,A man is sitting on the beach.,1
Two players from the New York Yankees are hugging while the players around them cheer.,Some people are happy,1
A man is standing inside a cherry picker.,The man in the cherry picker is working on the electric lines.,1
A little girl in a red shirt and purple tights sits surrounded by clothes and holding a book.,The girl is swinging.,2
A group of businessmen walking down the road.,A group of businessman ate on the road,2
A family goes for a walk along a dirt path in the country.,People are walking across the bridge.,2
Students posing for their year book on there last field trip.,the students are female,1
A group of people rest on a cliff overlooking a scenic view.,The people are on vacation.,1
Three uniquely dressed women dancing in a parade.,the men are dacing,2
Woman running with two dogs near water.,A woman is running with two dogs.,0
Several people standing around at a party.,no one showed up to the party,2
The girls wearing red shirts are blowing bubble gum on the bus.,The girls are blowing soap bubbles.,2
A blond child is running down a field with his tongue sticking out.,A blond child is running down a field.,0
A man in a short-sleeved black shirt stands with a leg lifted behind him and arms spread in opposite directions on a grated structure.,cat sleeps on table,2
"One boy in orange shorts standing on a rock cliff over water, while the other boy in black shorts jumps off into the water.",Two boys are outside enjoying nature,0
A man in a baseball cap does a skateboard jump on a half pipe.,A man is wear a hat.,0
A young girl sits in an aquarium by a tank holding dolphins while drinking from a cup.,A girl is watching a dolphin drink soda in a terrarium.,2
two small brown and white dogs standing beside some white chairs,A pack of dogs hunts.,1
The two dogs are running through the grass.,The two dogs are outside in the grass.,0
"A man wearing a colorful shirt, shorts, and a hat plays the accordion.",Several young individuals are dressed up as clowns preparing to get on the stage.,2
"Four young men, one fully dressed and seated, and three in black swim trunks- two standing, one seated- are on a pier with brightly painted railings.",The men play golf.,2
Two men climbing a ladder to gain access to a small tree.,One man is watching his favorite TV show while his friend mows the lawn.,2
A child swings and the sunshine shines down on her.,A child is swinging at reccess at school.,1
"lot of cars on the street, and one man on the bicycle.",Cars are on the street.,0
A couple are trying to find the place they want to go.,Two people are taking a nap.,2
There is a person walking on the street in between a red and yellow car with a bag and a basket full of items.,The person is rolling a crate with the bag and basket inside.,2
A man in glasses looks at his cellphone.,a man looks at his cellphone,0
A guy is being kissed by two girls in a beachfront setting with a lighthouse.,The man is being kissed by other men,2
A blond women in a karate uniform has her right arm extended in a punch stance.,The woman is standing with her arms folded.,2
Women in roller derby are in the middle of a bout.,Women are skating in a circle.,0
A crowd of people in an Asian country.,A crowd of people are gathered in Japan.,1
a group of children playing in a sprinkler,children outside,0
A man throws a disc in a park.,The man has a frisbee.,1
A group of three women and three men sit and stand near a white fence looking at something in the distance.,The group of people sit down for a nice pasta dinner.,2
"Two women and a child are dressed in clothing customary to indigenous local people, and they are sitting by a large rock.",the people are seated down,0
A man is wearing a yellow jacket is wrangling an out of control horse in an outdoor stadium.,A man is provoking the horse.,1
A tan dog shaking the water off of himself,An animal trying to dry itself off.,0
Backyard jump pose that looks ninja like as two friends pretend to fight among green garden set ups.,The two boys are practicing for a play in which they will portray Ninja masters.,1
there is a middle-aged women in red and shes kneeling down holding a little boy who looks like he could be her grandson the little boy is wearing a white long-sleeve shirt with blue pants the two of them are next to some grass and in front of a hill of dirt they look like they are posing for a family picture.,A woman embraces the little boy and kisses his cheek while looking up at the camera.,1
A woman speaks on her cellphone with her purse and a yellow bag on the ledge next to her.,The woman is in front of a libary.,1
A woman sitting on a stone bench next to many bikes.,A woman is sitting next to many bikes.,0
A person on an ATV in dunes with a purple sky.,A person is outside on an ATV.,0
"Two dogs fighting, one is black, the other beige.",Two fighting dogs are seriously injuring one another.,1
A brown dog chasseing a white dog.,The dogs are sick and cannot move.,2
man helping women with laptop in classroom.,The man is helping with a computer.,0
A figure skating wearing a black dress is performing on an ice rink.,A figure skater is performing in her first competition of the season.,1
Two men are showing a fighting move while one man appears not to be enjoying it too much.,The men are wearing karate uniforms.,1
A man in a brown hat walks in front of stone building.,Two women walking by a store,2
Three men and one woman are working on computers.,The computers are being used by some people.,0
A photo of a happy gentleman driving what looks like a large truck.,A photo of a man sitting next to his dog on a porch.,2
A man with a strange helmet is sitting on top of a blue motorcycle.,A man falls off a motorcycle.,2
Men prepare to fish off a busy city pier.,a couple of fishermen on a pier,1
A flower girl holds a basket during a wedding reception.,A flower girl holds a basket.,0
Two ice hockey players,THe players are sleeping.,2
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A woman is sitting and eating cake in a garden.,2
A woman takes a picture of a baby wearing a pink hat while a man carries her.,the woman has a camera,0
Two women looks over an item at a Chinese convenience store.,Two woman are in a mexican convenience store.,2
a little girl in a yellow hat is sitting in the grass with her eyes closed and her hand up to her face.,Nobody has a hat.,2
Dog runs through field of flowers,Dog is running through flowers outside,0
"One boy and a girl dressed in snowsuits, jumped in air with hands raised in lots of snow.",kids enjoy a day off of school because of the snow,1
A group of people boards a bus.,A group of people are boarding a boat,2
Girls playing soccer in pink versus blue teams uniforms.,Girls playing soccer in a tournament game.,1
Two dogs run around in a field playing.,There are a couple of animals outside interacting.,0
A smiling black woman wearing a headscarf standing in front of reflecting window.,There is a smiling black woman.,0
A group of men and women are rehearsing together on a stage.,a group getting ready to perfome at a fair,1
"Men dressed in red and white are standing on one another's shoulders, creating a 3 story human tower.",There are two brothers standing on each other.,1
A woman is enjoying a drink on a crowded street.,A woman is near other people.,0
A crowd of people have gathered near a blue truck with safety cones in the back.,Some people are playing a game of chess.,2
