unique_id,true_label,model_1_predicted_label,model_1_accuracy,model_2_predicted_label,model_2_accuracy,model_3_predicted_label,model_3_accuracy,model_4_predicted_label,model_4_accuracy,difficulty_score
0_1a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_1b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_1c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_2a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_2b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_2c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_3a,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
0_3b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_3c,2,2,1.0,1,0.0,1,0.0,1,0.0,0.25
0_4a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_4b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_4c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_5a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_5b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_5c,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
0_6a,1,1,1.0,1,1.0,1,1.0,2,0.0,0.75
0_6b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_6c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_7a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_7b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_7c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_8a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_8b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_8c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_9a,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
0_9b,2,2,1.0,1,0.0,1,0.0,2,1.0,0.5
0_9c,0,0,1.0,1,0.0,1,0.0,1,0.0,0.25
0_10a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_10b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_10c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_11a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_11b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_11c,1,1,1.0,0,0.0,1,1.0,0,0.0,0.5
0_12a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_12b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_12c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_13a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_13b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_13c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_14a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_14b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_14c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_15a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_15b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_15c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_16a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_16b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_16c,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
0_17a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_17b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_17c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_18a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_18b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_18c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_19a,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
0_19b,2,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_19c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_20a,1,0,0.0,0,0.0,0,0.0,1,1.0,0.25
0_20b,0,0,1.0,1,0.0,1,0.0,1,0.0,0.25
0_20c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_21a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_21b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_21c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_22a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_22b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_22c,2,2,1.0,1,0.0,2,1.0,2,1.0,0.75
0_23a,2,2,1.0,2,1.0,0,0.0,2,1.0,0.75
0_23b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_23c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_24a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_24b,1,0,0.0,0,0.0,1,1.0,1,1.0,0.5
0_24c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_25a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_25b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_25c,1,1,1.0,1,1.0,0,0.0,0,0.0,0.5
0_26a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_26b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_26c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_27a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_27b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_27c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_28a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_28b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_28c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_29a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_29b,2,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_29c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_30a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_30b,0,0,1.0,0,1.0,2,0.0,0,1.0,0.75
0_30c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_31a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_31b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_31c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_32a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_32b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_32c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_33a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_33b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_33c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_34a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_34b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_34c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_35a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_35b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_35c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_36a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_36b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_36c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_37a,1,1,1.0,1,1.0,2,0.0,1,1.0,0.75
0_37b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_37c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_38a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_38b,0,0,1.0,1,0.0,1,0.0,1,0.0,0.25
0_38c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_39a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_39b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_39c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_40a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_40b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_40c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_41a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_41b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_41c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_42a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_42b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_42c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_43a,2,2,1.0,1,0.0,2,1.0,2,1.0,0.75
0_43b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_43c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_44a,1,0,0.0,2,0.0,0,0.0,1,1.0,0.25
0_44b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_44c,2,0,0.0,1,0.0,0,0.0,1,0.0,0.0
0_45a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_45b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_45c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_46a,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
0_46b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_46c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_47a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_47b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_47c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_48a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_48b,2,1,0.0,2,1.0,2,1.0,1,0.0,0.5
0_48c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_49a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_49b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_49c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_50a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_50b,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
0_50c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_51a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_51b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_51c,1,2,0.0,2,0.0,1,1.0,2,0.0,0.25
0_52a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_52b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_52c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_53a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_53b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_53c,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_54a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_54b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_54c,1,2,0.0,1,1.0,2,0.0,2,0.0,0.25
0_55a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_55b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_55c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_56a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_56b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_56c,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
0_57a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_57b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_57c,1,1,1.0,1,1.0,1,1.0,2,0.0,0.75
0_58a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_58b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_58c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_59a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_59b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_59c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_60a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_60b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_60c,2,1,0.0,2,1.0,1,0.0,2,1.0,0.5
0_61a,0,1,0.0,0,1.0,1,0.0,1,0.0,0.25
0_61b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_61c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_62a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_62b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_62c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_63a,0,0,1.0,0,1.0,1,0.0,0,1.0,0.75
0_63b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_63c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_64a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_64b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_64c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_65a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_65b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_65c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_66a,1,1,1.0,2,0.0,2,0.0,2,0.0,0.25
0_66b,2,2,1.0,2,1.0,2,1.0,1,0.0,0.75
0_66c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_67a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_67b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_67c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_68a,2,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_68b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_68c,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_69a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_69b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_69c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_70a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_70b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_70c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_71a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_71b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_71c,1,1,1.0,1,1.0,2,0.0,2,0.0,0.5
0_72a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_72b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_72c,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_73a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_73b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_73c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_74a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_74b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_74c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_75a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_75b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_75c,1,2,0.0,2,0.0,0,0.0,1,1.0,0.25
0_76a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_76b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_76c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_77a,1,1,1.0,1,1.0,0,0.0,1,1.0,0.75
0_77b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_77c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_78a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_78b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_78c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_79a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_79b,2,2,1.0,1,0.0,1,0.0,2,1.0,0.5
0_79c,0,1,0.0,0,1.0,0,1.0,1,0.0,0.5
0_80a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_80b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_80c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_81a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_81b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_81c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_82a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_82b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_82c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_83a,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
0_83b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_83c,2,1,0.0,1,0.0,2,1.0,1,0.0,0.25
0_84a,2,1,0.0,1,0.0,2,1.0,1,0.0,0.25
0_84b,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
0_84c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_85a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_85b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_85c,0,2,0.0,2,0.0,2,0.0,0,1.0,0.25
0_86a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_86b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_86c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_87a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_87b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_87c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_88a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_88b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_88c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_89a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_89b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_89c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_90a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_90b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_90c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_91a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_91b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_91c,2,2,1.0,1,0.0,2,1.0,2,1.0,0.75
0_92a,0,1,0.0,2,0.0,1,0.0,2,0.0,0.0
0_92b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_92c,1,1,1.0,1,1.0,2,0.0,1,1.0,0.75
0_93a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_93b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_93c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_94a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_94b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_94c,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
0_95a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_95b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_95c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_96a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_96b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_96c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_97a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_97b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_97c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_98a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_98b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_98c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_99a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_99b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_99c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_100a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_100b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_100c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_101a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_101b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_101c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_102a,1,0,0.0,1,1.0,1,1.0,0,0.0,0.5
0_102b,2,2,1.0,1,0.0,2,1.0,2,1.0,0.75
0_102c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_103a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_103b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_103c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_104a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_104b,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
0_104c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_105a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_105b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_105c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_106a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_106b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_106c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_107a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_107b,1,1,1.0,2,0.0,2,0.0,2,0.0,0.25
0_107c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_108a,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
0_108b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_108c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_109a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_109b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_109c,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
0_110a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_110b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_110c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_111a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_111b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_111c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_112a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_112b,1,1,1.0,2,0.0,2,0.0,1,1.0,0.5
0_112c,1,1,1.0,2,0.0,2,0.0,0,0.0,0.25
0_113a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_113b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_113c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_114a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_114b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_114c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_115a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_115b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_115c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_116a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_116b,2,2,1.0,2,1.0,1,0.0,2,1.0,0.75
0_116c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_117a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_117b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_117c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_118a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_118b,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
0_118c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_119a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_119b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_119c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_120a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_120b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_120c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_121a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_121b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_121c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_122a,0,0,1.0,1,0.0,1,0.0,1,0.0,0.25
0_122b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_122c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_123a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_123b,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
0_123c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_124a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_124b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_124c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_125a,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
0_125b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_125c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_126a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
0_126b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_126c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
0_127a,1,1,1.0,0,0.0,0,0.0,1,1.0,0.5
0_127b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
0_127c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
