,guid,premise,hypothesis,label
0,3706019259212,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1
1,6630195863041,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a wedding.,2
2,2832076014110,A Land Rover makes its way through a deep pond.,A car drives through the water.,0
3,3827316480211,Two young girls are playing outside in a non-urban environment.,"Some girls are running on the sidewalk, next to some parked cars.",2
4,2635023078412,"Two young men drink beer, leaning on a graffitied wall.",The men are standing in urine.,1
5,4671126676111,A young woman frolicking on the lawn in front of the us capitol building.,A young woman having a picnic on the lawn in front of the capitol building.,2
6,3678100844312,A woman with dark hair is wearing a green sweater.,A woman with black hair is wearing a sweater.,1
7,222759342212,a young girl in a flowery dress surrounded by watermelons,There are some citrus fruit.,1
8,111285749111,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,A creepy guy is putting his favorite photos of the woman he's stalking up in his shrine to her.,2
9,527272653011,the three boys are all holding onto a flotation device in the water.,The three boys are surfing.,2
10,3308132698011,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The woman wearing a tiara is getting married.,2
11,1597557856022,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,A Corgi walks toward the camera.,1
12,3217910740412,A woman helps boys on a computer.,The boy is writing his English paper.,1
13,3532593368411,people raise their hands.,The people are being rude.,2
14,2060472076311,Man stacking wooden crates on top of each other.,A man stacks crates next to each other.,2
15,4357695000312,Beautiful young lady striking an artistic pose.,The woman is lying down.,1
16,6950137939112,A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing frisbee.,1
17,2745487323211,Three older men playing live music in a grand hall.,A trio of jazz muscicians performing at a nightclub.,2
18,2473737724212,Two children perform a karate move on a red mat.,Two children are arguing and fighting each other.,1
19,216172386411,A motocross biker about to descend,A biker waits for his turn to race.,2
20,6545713889111,A man is lying in snow laughing while a female is looking on.,The couple is in equador.,2
21,32080607211,A photo of a Volvo dealership at night with two people surrounded by orange cones.,The Volvo dealership is serving ice cream.,2
22,466877726011,Two men in orange construction hats are guiding a cart full of brick stones.,Two men take bricks from a cobblestone road.,2
23,4849079591011,A man is very excited to add a tattoo to his collection.,This is the man's first tattoo ever.,2
24,2911706853112,The blond-haired mother looked on as her daughter was getting her haircut for the first time.,A blonde mother looks on as her blonde daughter gets her first hair cut.,1
25,5648828783412,Two people preparing meat over a grill with a blowtorch.,The people have no clue how to barbecue.,1
26,4928783075311,A boy is in a field with a toy airplane in the air in front of him.,A boy is at a sports event.,2
27,5932900326211,"Two women wearing safety goggles, looking at the same notebook.",Two women are sitting side by side looking at their notebooks.,2
28,3724718895142,The white dog is being squirted in the face with a jet of water.,The dog is getting wet on a prominent area of its body.,1
29,487423680411,Two young girls pick daffodils.,Two children plant flowers in a garden.,2
30,406308903241,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The skateboard is on the ground.,2
31,484443289312,Older couple is covered in shadows by a bridge.,couple near big building,2
32,3370308329211,Four children climbing up a snow covered hill.,Four children climb up an Icy palace in the Norwegian countryside,2
33,4891182729411,A black man is on a bridge.,The man is playing bridge with his neighbors.,2
34,4525077213111,"A middle-aged man in a business suit is seated at a bus stop shelter, with Hispanic writing showing on the shelter's sign.",The man is waiting for his car.,2
35,4630116750111,"A man is bent over by an old stone wall, looking into his backpack.",A man is indoors.,2
36,4630116750210,A person in black pants bends over near a concrete wall.,A person in dark colored pants is twisting himself.,0
37,4872638109111,Only the hands and arms of a person painting another person's arm.,A sculptor is making a statue.,2
38,3275704430412,A woman is covering her eyes with her hands.,A woman is playing peek-a-boo with a baby.,1
39,4948865477111,"One man, in a blue jacket, is sitting in the rain under a green umbrella.",The jacket and umbrella are the same color.,2
40,1578355853012,"A group of people and a dog sit in the bleachers of a basketball court, watching another group of people's performance on the court.",People and a dog are watching other's play basketball.,1
41,6925158300111,A large group of computer gamers are arranged in a row while playing games.,A group of people are playing Dungeons and Dragons at a table.,2
42,3616927733211,A man in a cap and scarf is outside painting a scene with a green fence in it.,The man is destorying a masterpiece.,2
43,2537697530111,Many people in orange jackets are working in the subway station.,A person is waiting on a subway.,2
44,114949897311,A boy hits a ball off of a tee ball into to net.,A boy hits a ball off of a tee ball and wins the big game,2
45,1801697440152,A man in a white tank top using a laptop sitting next to a tall pillar with a statue on top of it.,The man's shirt is a button-down.,1
46,4745414475111,Little girl in her bridesmaid dress sitting down with the bouquet.,The girl is getting married.,2
47,2199793371111,This brown pitbull is carrying a soccer ball in his mouth.,The pitbull has a muzzle on.,2
48,2146600736112,A young woman dances in her ethnic attire.,A woman wearing patterned clothing does a dance.,1
49,2280525192111,Black and brown dog with red harness in high grass.,A dog on a manicured lawn.,2
50,15269955021,A man in a black and white suit is juggling rings in the street while spectators are cheering him on.,The man catches a juggling pin.,2
51,4661610976410,A public speaker discussing what needs to be changed.,A speaker discussing what needs to be changed in his Office.,0
