,guid,premise,hypothesis,label
21,4850814517112,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1
126,262642489012,The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,1
145,2677109430212,A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.,1
156,4473826637211,A couple holding hands walks down a street.,There are people sitting on the side of the road.,2
784,3710607005412,A man in a blue shirt is looking up.,A man in a blue shirt is looking up at a dog.,1
907,6454325817010,Young woman running as two guys in the back try to catch up to her.,group of people running,0
1081,480607352312,Street performer in colorful shirt performing with small guitar.,The street performer is singing a song.,1
1270,222759342411,A small girl stands among many large watermelons.,There is a girl sitting near the watermelon,2
2369,6474564205410,A crew gets ready at the sideline in an empty basketball stadium.,A crew is getting ready,0
2864,2972929655412,The boys draw in the sand with sticks.,The teenagers try to out draw each other on the beach.,1
4074,488545333312,An aerial shot of a big crowd of people.,The people gather to watch the fight,1
4448,4862877623111,A man rides his bike on one wheel while towing something behind him.,The man on the bike has no legs,2
4978,4821810079311,A man dressed in red is at the marketplace.,Man sitting in office,2
5058,2214821600312,A woman with an umbrella following a car on a billboard.,A woman is on an advertisement.,1
5150,3154528397412,A man is skiing in midair.,A man is yelling out in midair.,1
5630,24467676412,A man in a blue shirt standing in front of a doorway.,A male is waiting for his woman who is taking her time.,1
6320,4948865477041,"A man in a blue jacket has fallen asleep while sitting on a fold-able chair, with a fishing pole and a green umbrella.",A man falls asleep on his couhc.,2
6675,126823727340,The man in a blue sweatshirt is in a kitchen.,The guy in the kitchen wears a blue sweatshirt.,0
7008,3359551687311,Someone in shorts is somersaulting in front of a crowd.,The crowd is beating the person,2
7236,1356895715052,A motorcyclist drives up the side of a green mountain while another bike remains stationary.,A motorcylist is on vacation.,1
7269,488561283011,"A group of people, holding drinks are standing around talking.",The people are sitting in a hot tub.,2
7633,4046071738412,A little girl walking on a concrete boardwalk.,A girl is walking as she eats candy.,1
7697,4146483752051,A boy is shaving a African American's hair in a home setting he has clothing over him so he does n't get hair on himself.,A child rides a scooter down the sidewalk.,2
8088,1801697440051,A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.,A man is sitting on his laptop.,2
8249,242558556010,A woman with blond-hair is smiling and putting on a white sweater.,A person is dressing.,0
8645,4745414475011,A little girl in a white dress sits in an open doorway holding a bouquet of flowers.,the boy is standing at a basketball court,2
9135,7236308294012,Two individuals are running down a street in some sort of running competition.,the two are trying to beat each other in the race,1
9199,4450537155111,The woman in the purple with a pin and clipboard is waiting for the young lady answer.,The woman is hitting the young lady.,2
9819,4744533623310,A young boy is wearing a white jumpsuit.,A boy wears a white outfit.,0
9908,6209037268010,Two girls draw on cement with chalk with the ocean in the background.,The girls are near the ocean.,0
10187,5823310445011,Little girl wearing a mask sitting on man's shoulders as they walk through a crowded street together.,The girl is wearing a mask while runs around the crowded street.,2
10571,3551170666011,Golden female dog feeding newborn litter of puppies.,Cats drinking milk.,2
10946,1215318051040,Five adults are playing cards while sitting outside at a picnic table in their backyard.,Adults are sitting at a picnic table.,0
11052,3172283002342,Four people posing for a picture,A group of people have a camera pointed at them.,1
11443,4897473911312,Ladies standing up on the side of a board for the Tuscany Sun Festival.,the ladies are hot,1
11762,2678747865310,A man sits on a bike attached to a column in the air.,The man is sitting,0
12089,4906946011,"Two men wearing white helmets and neon construction vests, one holding a shovel, bend over while working on a sediment retention wall on the side of a road.",Two men look out a window.,2
12180,3615730936410,A man rides his dirt bike through the woods.,A man is riding a dirt bike through a forest.,0
13193,4752721674011,Cameras set up on tripods along the side of a road barrier.,A kitten is playing with a ball of yarn.,2
13231,2600386812412,The brown dog is in the waving water.,A dog swims in the ocean.,1
13312,4802552043110,"A man with a shirt on his head, wearing a plaid shirt, leaning against a painted blue wall.",there is a guy leaning against a wall,0
13400,1398766312330,Women manually turns a vintage Singer sewing machine.,Difficult sewing on a classic machine.,0
13906,4734146340411,An old man holding a large stick.,A old guy is clapping.,2
14188,590445887212,A woman in a green wig hula-hoops in front of a crowd.,A clown shows off her hulahooping skills.,1
14346,11914981310,Three people are pushing a large machine down a street.,A few people are outside  moving a machine.,0
14672,6309331514420,A band is performing for an audience.,The audience are waiting to be entertained,0
14931,252802010111,A brown and white dog playing with black dog.,Two dogs jump in the water.,2
15853,7969709890312,A group of bicyclists are competing in a race.,the bicyclists are racing for the 200 dollar prize,1
15936,559065775012,"An elderly woman is walking on a street filled with graffiti while dressed with a young, hip attire.",the old woman has dementia and believes she is a young hipster,1
16337,3881645432112,A woman employee at a best buy seems to be using the computer.,a woman is looking up inventory,1
16525,1349427689411,A young male dumps the extra water out of his small motorboat.,A person fills up his car with gas.,2
16844,485312202011,A man sitting on a bench with his bicycle leaning against a railing.,The man rides his bike through the park.,2
17071,3329289652012,Two blond boys play with Legos from a clear plastic bin with a sofa in the background.,They are building a castle.,1
19016,6848971983012,An artist shows off his work to a large crowd of people who appear to be listening intently to the artist's description of his display.,An artist shows off his sculpture.,1
19037,6848971983410,The speaker is introducing the new products on a fair.,a speaker presents some products,0
19290,3621988827211,A man sits in a train car smiling at the camera.,A man runs down the aisle on the train.,2
19307,2968135512431,Young skateboarder doing a trick in the park.,a boy rides a bike,2
19312,3195147187111,A brown dog is jumping over a black dog that is laying down on a patio.,The dogs are on the couch.,2
20056,5226870137310,A man is wearing a suit and driving a carriage.,"Man driving a carriage, was wearing a suit",0
20082,3207654194112,A dog is running across a desert with bushes around him.,A coyote is chasing a rabbit through the brush.,1
20211,2225552348212,People looking into a hole that has already been dug.,The treasure hunters were disappointed to find that someone else had beaten them to their find.,1
20354,3834121899051,An overweight man and a woman are outside listening to a thinner man read from a book on a partly cloudy day.,The people are deep sea diving,2
20688,3774410210011,Two men are in the middle of an MMA fight and a referee is in the background.,The men were bowling.,2
20978,3065207901012,A young girl sits on a wooden bench holding a shoe with a blue bike in the foreground.,The bike belongs to the girl.,1
21136,3468023754321,Four children looking through rolled up booklets.,100 people looking,2
21371,288025239012,A woman smiles from inside a red tent that is surrounded by snow.,A woman smiles from inside a small red tent,1
21575,4495413170312,"A woman walking, carrying a ShoeGasm bag.",The bag is colored yellow.,1
21730,93447586110,A woman in a blue leotard performing on the balancing beam for gymnastics.,A woman is in a blue leotard.,0
21940,1460450364010,A boy wearing a red jacket sits on his dad's shoulders while his father who is wearing a gray long-sleeved shirt and white shorts holds onto a large black dog by its leash.,A boy is sitting on his dad's shoulders.,0
21988,1534613774120,Some people are standing alone on the beach in their swimsuits.,Some people with swimsuits stand alone on the beach,0
22065,3547600292312,A black and orange bird in the grass,An oriole is in the grass.,1
22085,145282619311,A chef is cooking multiple dishes at the same time.,A chef is cooking one meal.,2
22704,4885728602211,A man with a guitar and other instruments sits on a chair while people walk by him.,A man with guitar sleeping on a foothpath,2
22707,5791568112,A man wearing an orange vest is standing on the street with a bulldozer behind him.,A construction worker waits for lunch.,1
