,guid,premise,hypothesis,label
117,4850814517410,A blond man is drinking from a public fountain.,The man is drinking water.,0
289,3706019259212,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1
330,6630195863041,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a wedding.,2
365,2832076014112,A Land Rover makes its way through a deep pond.,A car gets stuck in the water.,1
367,2832076014110,A Land Rover makes its way through a deep pond.,A car drives through the water.,0
865,2102835360110,"A large group, wearing pink shirts, waves to onlookers.",A crowd gesticulates.,0
924,2635023078412,"Two young men drink beer, leaning on a graffitied wall.",The men are standing in urine.,1
1210,3678100844312,A woman with dark hair is wearing a green sweater.,A woman with black hair is wearing a sweater.,1
1288,222759342212,a young girl in a flowery dress surrounded by watermelons,There are some citrus fruit.,1
1676,111285749111,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,A creepy guy is putting his favorite photos of the woman he's stalking up in his shrine to her.,2
2020,1597557856022,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,A Corgi walks toward the camera.,1
2313,3217910740412,A woman helps boys on a computer.,The boy is writing his English paper.,1
2332,3532593368411,people raise their hands.,The people are being rude.,2
2684,4357695000312,Beautiful young lady striking an artistic pose.,The woman is lying down.,1
2746,6950137939112,A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing frisbee.,1
3331,2473737724212,Two children perform a karate move on a red mat.,Two children are arguing and fighting each other.,1
3508,216172386411,A motocross biker about to descend,A biker waits for his turn to race.,2
3635,2432634169210,People are waiting with their luggage at an airport check-in.,People are waiting to check in for their flights.,0
3909,307000532010,"Here is a picture of locals hanging out in front of a store, talking on the phone and making sure their graffiti sign does n't get tagged.",The people have painted a sign with graffiti.,0
3948,32080607211,A photo of a Volvo dealership at night with two people surrounded by orange cones.,The Volvo dealership is serving ice cream.,2
4095,4849079591011,A man is very excited to add a tattoo to his collection.,This is the man's first tattoo ever.,2
4111,2911706853112,The blond-haired mother looked on as her daughter was getting her haircut for the first time.,A blonde mother looks on as her blonde daughter gets her first hair cut.,1
4244,5648828783412,Two people preparing meat over a grill with a blowtorch.,The people have no clue how to barbecue.,1
4421,5932900326211,"Two women wearing safety goggles, looking at the same notebook.",Two women are sitting side by side looking at their notebooks.,2
4731,3724718895142,The white dog is being squirted in the face with a jet of water.,The dog is getting wet on a prominent area of its body.,1
5165,3608022021210,A woman playing on an oversize checkers board.,A woman plays on a giant black-and-red checkerboard.,0
5295,484443289312,Older couple is covered in shadows by a bridge.,couple near big building,2
5357,3370308329211,Four children climbing up a snow covered hill.,Four children climb up an Icy palace in the Norwegian countryside,2
5374,4796753895410,A man crosses a busy city street.,"A man makes his way through traffic, no foot.",0
5526,4891182729411,A black man is on a bridge.,The man is playing bridge with his neighbors.,2
5919,4525077213111,"A middle-aged man in a business suit is seated at a bus stop shelter, with Hispanic writing showing on the shelter's sign.",The man is waiting for his car.,2
6082,4630116750210,A person in black pants bends over near a concrete wall.,A person in dark colored pants is twisting himself.,0
6113,3275704430412,A woman is covering her eyes with her hands.,A woman is playing peek-a-boo with a baby.,1
6352,1578355853012,"A group of people and a dog sit in the bleachers of a basketball court, watching another group of people's performance on the court.",People and a dog are watching other's play basketball.,1
7186,6925158300111,A large group of computer gamers are arranged in a row while playing games.,A group of people are playing Dungeons and Dragons at a table.,2
7369,3616927733211,A man in a cap and scarf is outside painting a scene with a green fence in it.,The man is destorying a masterpiece.,2
7750,350630236450,Men holding a fishing net on the beach.,Fishermen get ready to work.,0
7767,114949897311,A boy hits a ball off of a tee ball into to net.,A boy hits a ball off of a tee ball and wins the big game,2
8093,1801697440152,A man in a white tank top using a laptop sitting next to a tall pillar with a statue on top of it.,The man's shirt is a button-down.,1
8637,4745414475111,Little girl in her bridesmaid dress sitting down with the bouquet.,The girl is getting married.,2
8721,2146600736112,A young woman dances in her ethnic attire.,A woman wearing patterned clothing does a dance.,1
