unique_id,difficulty_score,premise,hypothesis,true_label
2_19457a,0.0,"An old man wearing a bandanna and shades, standing next to person with a yellow shirt, ready to take a picture.",An older man wearing a bandanna stands next to a person to take a picture.,1
2_19457b,1.0,"An old man wearing a bandanna and shades, standing next to person with a yellow shirt, ready to take a picture.","An old man wearing a shades, stands next to someone wearing a yellow shirt taking a picture.",0
2_19457c,1.0,"An old man wearing a bandanna and shades, standing next to person with a yellow shirt, ready to take a picture.","An older woman wearing a green shirt, stands next to a girl to take a picture.",2
2_20447a,0.25,A woman enjoying a drink in the sun.,The womans' beverage is keeping her cool.,1
2_20447b,0.75,A woman enjoying a drink in the sun.,The woman is having a beverage to cool off from the sun.,1
2_20447c,0.0,A woman enjoying a drink in the sun.,The womans beverage is warming her up.,2
4_4725a,0.5,Two white dogs run on the grass next to a road.,A few dogs are running on the road,1
4_4725b,1.0,Two white dogs run on the grass next to a road.,There are dogs running on the grass,0
4_4725c,1.0,Two white dogs run on the grass next to a road.,Those dogs are sleeping,2
4_2460a,1.0,A small white dog sits in a field,The pet is outside.,0
4_2460b,1.0,A small white dog sits in a field,The blue car is parked on the hill.,2
4_2460c,0.25,A small white dog sits in a field,The puppy walks into the meadow to rest.,1
1_21454a,0.5,two women look at the camera smiling sitting in chairs.,The two women are posing for a picture.,1
1_21454b,1.0,two women look at the camera smiling sitting in chairs.,The two women are sitting down.,0
1_21454c,1.0,two women look at the camera smiling sitting in chairs.,The two women are leaning against a wall.,2
0_22176a,1.0,a crowd watches a bicycle race while two racers in red walk their bikes past.,A crowded bicycling event,0
0_22176b,1.0,a crowd watches a bicycle race while two racers in red walk their bikes past.,A lone bicyclist in blue rides down the street,2
0_22176c,0.75,a crowd watches a bicycle race while two racers in red walk their bikes past.,Two bicyclists in red leave a race after being disqualified,1
1_16070a,0.0,A female soccer player crouches to put on her shoes.,girl playing soccer tying her shoelaces,-1
1_16070b,1.0,A female soccer player crouches to put on her shoes.,girl running on the field,2
1_16070c,1.0,A female soccer player crouches to put on her shoes.,girl tying shoelaces in a soccer match,1
3_28019a,0.5,A boy band and no one even matches someone should have sent a memo.,Someone should have sent a memo for the boy band.,0
3_28019b,0.25,A boy band and no one even matches someone should have sent a memo.,A memo was sent to the boy band.,2
3_28019c,0.75,A boy band and no one even matches someone should have sent a memo.,The boy bands attire did not match because no memo was sent telling them what to wear.,1
2_1491a,0.0,Men and women protesters stand outside with signs in support of their cause.,people standing with the sign board for their problems.,0
2_1491b,0.0,Men and women protesters stand outside with signs in support of their cause.,adults are having welcome sign board in airport.,1
2_1491c,1.0,Men and women protesters stand outside with signs in support of their cause.,old people walking with sticks.,2
0_9228a,1.0,A dog walks across a puddle of water in Las Vegas.,The dog is walking.,0
0_9228b,0.25,A dog walks across a puddle of water in Las Vegas.,The dog is walking among littered flyers for hookers.,1
0_9228c,1.0,A dog walks across a puddle of water in Las Vegas.,The dog is in Japan.,2
2_13263a,1.0,Two women on low riding three-wheeled vehicles with baskets.,The women ride vehicles with three wheels each.,0
2_13263b,0.5,Two women on low riding three-wheeled vehicles with baskets.,The women are riding in cars.,2
2_13263c,1.0,Two women on low riding three-wheeled vehicles with baskets.,The baskets contain shopping.,1
2_16824a,0.0,A woman and three kids play at a park.,A woman is playing with her children.,0
2_16824b,1.0,A woman and three kids play at a park.,A woman is reading a book.,2
2_16824c,0.75,A woman and three kids play at a park.,A woman is watching some children at the park.,1
0_15823a,1.0,A blond-haired man with glasses wears a makeshift cape while pointing up.,A man is pointing at a bird in the sky.,1
0_15823b,1.0,A blond-haired man with glasses wears a makeshift cape while pointing up.,The man is naked underwater.,2
0_15823c,0.25,A blond-haired man with glasses wears a makeshift cape while pointing up.,A man is pointing with his finger.,0
3_22647a,0.5,A biker in blue rides just ahead a biker in white down a gravel path.,The biker in white is leading the biker wearing blue.,2
3_22647b,1.0,A biker in blue rides just ahead a biker in white down a gravel path.,Two bikers are traveling down a path.,0
3_22647c,1.0,A biker in blue rides just ahead a biker in white down a gravel path.,The bikers are racing down the path.,1
2_11410a,0.75,A couple holds a sign that reads Teaching children for peace.,People are at a protest.,1
2_11410b,1.0,A couple holds a sign that reads Teaching children for peace.,The police are handing out free ice cream cones to everyone in the park.,2
2_11410c,1.0,A couple holds a sign that reads Teaching children for peace.,A couple holds a sign.,0
3_7905a,1.0,A woman and a man wearing sunglasses standing on the side of a busy street.,These people are spies.,1
3_7905b,0.25,A woman and a man wearing sunglasses standing on the side of a busy street.,"These sunglasses are Xray, and they can see your underpants",2
3_7905c,0.75,A woman and a man wearing sunglasses standing on the side of a busy street.,Sunglasses protect their eyes from excessive light.,0
1_12213a,1.0,A girls climbs on a jungle gym.,The girl is not touching the ground.,0
1_12213b,0.5,A girls climbs on a jungle gym.,The girl is at a playground.,1
1_12213c,1.0,A girls climbs on a jungle gym.,The girl is in bed.,2
4_26480a,0.0,A boy coming out of the pool.,A child leaves a pool.,1
4_26480b,1.0,A boy coming out of the pool.,A monster rises up out of a pool.,2
4_26480c,1.0,A boy coming out of the pool.,A young man exits a pool.,0
4_3340a,0.25,"Man sitting on deck reading on boat, with white hair.",man is sitting on a beach chair near the ocean reading his book,1
4_3340b,1.0,"Man sitting on deck reading on boat, with white hair.",the men are sitting on their back porch playing outside while their hair is blowing in the wind,2
4_3340c,0.25,"Man sitting on deck reading on boat, with white hair.",man is out on the ocean in a yacht reading a book and he has blonde hair,0
0_12899a,1.0,A dog is jumping into a pool to get a duck floating there.,The dog is jumping into a large blue pool,1
0_12899b,0.0,A dog is jumping into a pool to get a duck floating there.,The duck is floating on top of the pool.,0
0_12899c,0.5,A dog is jumping into a pool to get a duck floating there.,The duck is beside the pool.,2
2_23219a,1.0,Two soccer players are running and kicking a soccer ball at a game.,A basketball team is playing a game of basketball.,2
2_23219b,0.75,Two soccer players are running and kicking a soccer ball at a game.,Two kids are playing soccer at school.,1
2_23219c,1.0,Two soccer players are running and kicking a soccer ball at a game.,A soccer game is taking place.,0
2_17493a,0.5,Mother and son on seesaw playing.,A mother is making sure her son doesn't fall off the jungle gym.,2
2_17493b,1.0,Mother and son on seesaw playing.,An older child watches as his mother and little brother play on a seesaw.,1
2_17493c,0.0,Mother and son on seesaw playing.,Mother and son at a park.,0
1_21309a,1.0,One man sawing a tree and two men picking up debris.,The men are asleep.,2
1_21309b,0.75,One man sawing a tree and two men picking up debris.,There was a hurricane.,1
1_21309c,1.0,One man sawing a tree and two men picking up debris.,People are working.,0
1_19433a,0.5,A man watches as a woman cleans a pool.,A woman filters bits from the pool as a man looks on.,0
1_19433b,1.0,A man watches as a woman cleans a pool.,A woman does a backflip into a lake.,2
1_19433c,0.25,A man watches as a woman cleans a pool.,A man in sunglasses reads a magazine poolside.,1
4_27891a,1.0,A cowboy is roping a calf in a rodeo.,A bull is all alone.,2
4_27891b,1.0,A cowboy is roping a calf in a rodeo.,A man and animal are together.,0
4_27891c,0.75,A cowboy is roping a calf in a rodeo.,A rodeo has attracted an audience.,1
0_6792a,1.0,Two rescue workers rappelling out of a helicopter.,Two people are dropping from a helicopter.,0
0_6792b,1.0,Two rescue workers rappelling out of a helicopter.,Two people are sitting at a control deck.,2
0_6792c,0.0,Two rescue workers rappelling out of a helicopter.,Two people are descending down the sky.,1
2_11647a,1.0,A young blond girl wearing her pink helmet slowly rode by the sidewalk cafe.,A child is outside.,0
2_11647b,1.0,A young blond girl wearing her pink helmet slowly rode by the sidewalk cafe.,A dog is eating a bone.,2
2_11647c,0.25,A young blond girl wearing her pink helmet slowly rode by the sidewalk cafe.,A child is riding her bike.,1
4_18468a,1.0,Woman in front of clothing store.,The woman is looking at a dress in the window.,1
4_18468b,1.0,Woman in front of clothing store.,The picture shows a man in front of a liquor store.,2
4_18468c,0.5,Woman in front of clothing store.,A store that sells shirts is visible in the shot.,0
0_7977a,1.0,A Spanish guitarist and a female performer clad in white look on while a female student dons a serape.,The guitarist is holding an instrument.,0
0_7977b,1.0,A Spanish guitarist and a female performer clad in white look on while a female student dons a serape.,The student is walking to a stadium alone.,2
0_7977c,0.75,A Spanish guitarist and a female performer clad in white look on while a female student dons a serape.,The student is performing a dance.,1
0_7508a,0.0,"A family eats sitting around a table and drinking wine, with two babies, the mother, father, and an unidentified woman.",The family is drinking wine,1
0_7508b,1.0,"A family eats sitting around a table and drinking wine, with two babies, the mother, father, and an unidentified woman.",The family is sleeping.,2
0_7508c,1.0,"A family eats sitting around a table and drinking wine, with two babies, the mother, father, and an unidentified woman.",The family is sitting around a table,0
2_20033a,1.0,Homeless people are by a building with graffiti painted on it.,Homeless people are by a building that they painted graffiti on.,1
2_20033b,1.0,Homeless people are by a building with graffiti painted on it.,Homeless people are by a building.,0
2_20033c,0.25,Homeless people are by a building with graffiti painted on it.,Homeless people are by a soup kitchen.,2
1_13291a,1.0,A little boy with a bib on is watching the camera.,The little boy is smiling.,1
1_13291b,1.0,A little boy with a bib on is watching the camera.,The boy is watching a toy train on a track.,2
1_13291c,0.5,A little boy with a bib on is watching the camera.,The young child is interested in the photographer.,0
2_16913a,0.5,A bunch of different glasses on top of a checkerboard.,The checkerboard is clear.,2
