,guid,premise,hypothesis,label
105,3053415073412,A skier slides along a metal rail.,A skier is near the rail looking down.,1
106,3053415073410,A skier slides along a metal rail.,A skier is near the rail.,0
107,3053415073411,A skier slides along a metal rail.,A skier is away from the rail.,2
117,4850814517410,A blond man is drinking from a public fountain.,The man is drinking water.,0
118,4850814517412,A blond man is drinking from a public fountain.,The man is very thirsty.,1
119,4850814517411,A blond man is drinking from a public fountain.,The man is drinking coffee.,2
141,2848418175312,A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,1
142,2848418175310,A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,0
143,2848418175311,A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.,2
287,3706019259211,"A family with a baby, the father is wearing a save the children sign.",Three adults are pictured.,2
288,3706019259210,"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.,0
289,3706019259212,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1
320,3067711936212,Group of young women in dresses strolling on the sidewalk.,all the women are well dressed,1
321,3067711936211,Group of young women in dresses strolling on the sidewalk.,all the young girls won the first prize,2
322,3067711936210,Group of young women in dresses strolling on the sidewalk.,there are some groups one of them of young females are in dresses strolling for a ramp walk,0
365,2832076014112,A Land Rover makes its way through a deep pond.,A car gets stuck in the water.,1
366,2832076014111,A Land Rover makes its way through a deep pond.,A car is in the shop.,2
367,2832076014110,A Land Rover makes its way through a deep pond.,A car drives through the water.,0
434,471667964010,"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",a man is looking at his webcam,0
435,471667964012,"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",he is covering up his face,1
436,471667964011,"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",a man is sticking his tongue out,2
545,6431072589412,BMX biker jumps over a ravine.,ravine jumping is never easy,1
546,6431072589410,BMX biker jumps over a ravine.,there is a bmx biker who is perfect in ravine jumping,0
547,6431072589411,BMX biker jumps over a ravine.,anybody can do ravine jumping,2
554,4486982499111,The boy locked the cycle and went away.,A boy riding a bike.,2
555,4486982499110,The boy locked the cycle and went away.,A boy walking away.,0
556,4486982499112,The boy locked the cycle and went away.,A bicycle chained up with a boy walking away.,1
925,15085612312,A man being airlifted to safety after being in danger.,The helicopter is moving people in danger.,1
926,15085612310,A man being airlifted to safety after being in danger.,A man is being moved.,0
927,15085612311,A man being airlifted to safety after being in danger.,The helicopter is putting people in a dangerous area.,2
1099,4756089619410,A street vendor in Asia tries to bring in more customers.,A vendor trying to attract costumers.,0
1100,4756089619412,A street vendor in Asia tries to bring in more customers.,A salesman selling items to patrons.,1
1101,4756089619411,A street vendor in Asia tries to bring in more customers.,A man closing his shop for the day.,2
1317,3616927733312,An older man stands on the sidewalk painting the view.,The old man will sell his painting.,1
1318,3616927733311,An older man stands on the sidewalk painting the view.,The old man is painting a view of a bathroom.,2
1319,3616927733310,An older man stands on the sidewalk painting the view.,The old man is painting a portrait.,0
1356,4689266358012,"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A neon sign reads ""Welcome to Golden""",1
1357,4689266358011,"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A neon sign reads ""Now leaving Golden""",2
1358,4689266358010,"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A sign reads ""Welcome to Golden""",0
1422,2341904462010,"Two women, each embracing a little girl, catch up at a small family gathering.",2 women are carrying little girls.,0
1423,2341904462012,"Two women, each embracing a little girl, catch up at a small family gathering.",The women were showing their daughters an animal.,1
1424,2341904462011,"Two women, each embracing a little girl, catch up at a small family gathering.",The women left their children behind.,2
1509,2503250992012,"A man is sitting with his head facing down, while other people are looking in his direction.",The man is making a scene.,1
1510,2503250992010,"A man is sitting with his head facing down, while other people are looking in his direction.",The man is being stared at.,0
1511,2503250992011,"A man is sitting with his head facing down, while other people are looking in his direction.",The man is staring everyone down.,2
1745,264460711010,A group of men and women are having a discussion in a restaurant.,a group of men and women converse,0
1746,264460711011,A group of men and women are having a discussion in a restaurant.,a crowd has a discussion in a hospital,2
1747,264460711012,A group of men and women are having a discussion in a restaurant.,a crowd argues,1
1763,527272653010,the three boys are all holding onto a flotation device in the water.,Three boys are in a body of water.,0
1764,527272653012,the three boys are all holding onto a flotation device in the water.,The boys are wearing party clothing.,1
1765,527272653011,the three boys are all holding onto a flotation device in the water.,The three boys are surfing.,2
1877,3308132698012,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The men in sailor hats are dancing on stage.,1
1878,3308132698010,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The chorus is singing.,0
1879,3308132698011,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The woman wearing a tiara is getting married.,2
2039,2714699748210,Two bulldogs playing on the floor.,the dogs are indoors,0
2040,2714699748211,Two bulldogs playing on the floor.,the dogs are sitting,2
2041,2714699748212,Two bulldogs playing on the floor.,the dogs rolling on the floor,1
2261,2816361063212,The guy in a striped shirt is playing his electric guitar.,A male has a musical instrument taking request.,1
2262,2816361063211,The guy in a striped shirt is playing his electric guitar.,A couple at an outdoor concert.,2
2263,2816361063210,The guy in a striped shirt is playing his electric guitar.,A male has an instrument.,0
2273,4501102617311,A lady standing on the corner using her phone.,She is inside her house,2
2274,4501102617310,A lady standing on the corner using her phone.,The lady is outside,0
2275,4501102617312,A lady standing on the corner using her phone.,The lady has a smartphone,1
2312,3217910740411,A woman helps boys on a computer.,The woman is helping a kid eat.,2
2313,3217910740412,A woman helps boys on a computer.,The boy is writing his English paper.,1
2314,3217910740410,A woman helps boys on a computer.,The boy is using a computer,0
2330,3532593368412,people raise their hands.,People are in class.,1
2331,3532593368410,people raise their hands.,People are waiting to answer questions.,0
2332,3532593368411,people raise their hands.,The people are being rude.,2
2342,4182499394112,Repairing a house in the hot sun how unfunny that has to be.,The sun is shining directly on the house to be repaired.,1
2343,4182499394111,Repairing a house in the hot sun how unfunny that has to be.,Its raining outside.,2
2344,4182499394110,Repairing a house in the hot sun how unfunny that has to be.,It is to warm to be outside.,0
2375,6474564205210,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are preparing at the arena before a game,0
2376,6474564205212,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are rehearsing at the arena before a game,1
2377,6474564205211,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are rushing through traffic before a game,2
2800,6593497141011,"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The couple sing harmoniously as the woman plucks her glittery banjo, it's sparkle standing out in the crowd.",2
2801,6593497141010,"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The man and woman singing due play their instruments, although the woman's instrument is blocked by something.",0
2802,6593497141012,"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The couple sing and play together nicely, even if the man's brown hat is blocking the woman's instrument.",1
2904,4852729415112,People sitting on black chairs on a bus.,The people are on their way home,1
2905,4852729415110,People sitting on black chairs on a bus.,The people in a bus,0
2906,4852729415111,People sitting on black chairs on a bus.,The people are outside.,2
3207,5522182662211,An older man in nautical gear smilingly turns a ship wheel.,A man standing beside a boat.,2
3208,5522182662210,An older man in nautical gear smilingly turns a ship wheel.,A ship wheel is manned by a well-equipped older man.,0
3209,5522182662212,An older man in nautical gear smilingly turns a ship wheel.,An older man takes his ship on the sea.,1
3210,5522182662111,The smiling ship captain is holding the wheel of his wooden ship.,The ship captain has abandon his ship.,2
3211,5522182662110,The smiling ship captain is holding the wheel of his wooden ship.,The ship captain is holding the sterring wheel.,0
3212,5522182662112,The smiling ship captain is holding the wheel of his wooden ship.,The captain is on the bridge.,1
3327,2745487323211,Three older men playing live music in a grand hall.,A trio of jazz muscicians performing at a nightclub.,2
3328,2745487323212,Three older men playing live music in a grand hall.,A trio of older gentlemen play chamber music in a concert hall.,1
3329,2745487323210,Three older men playing live music in a grand hall.,A trio of older gentlemen performing in a musical concert.,0
3386,3091916691312,A man in a pink shirt stands next to a man in orange.,The two people weaaring brightly colored shirts are men.,1
3387,3091916691311,A man in a pink shirt stands next to a man in orange.,The woman is wearing a pink and orange dress.,2
3388,3091916691310,A man in a pink shirt stands next to a man in orange.,The person in orange is standing next to a person wearing pink.,0
3650,4676087367010,A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.,a man wairs a blue hat and glasses,0
3651,4676087367012,A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.,he is meeting a friend of his,1
3652,4676087367011,A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.,they are driving,2
4057,2215136723410,a little boy plays in the snow.,The boy is outside in winter,0
4058,2215136723411,a little boy plays in the snow.,The boy is dressed in a t-shirt and shorts,2
4059,2215136723412,a little boy plays in the snow.,The boy is making snowballs,1
4066,488545333111,Guys and girls in a cramped place with drinks in hand.,There are only guys at a party,2
4067,488545333110,Guys and girls in a cramped place with drinks in hand.,There are guys and girls at a crowded party,0
4068,488545333112,Guys and girls in a cramped place with drinks in hand.,There are guys and girls at a party,1
4279,4563177695311,Two guards are sitting near an entrance.,Two guards are standing at the exit.,2
4280,4563177695310,Two guards are sitting near an entrance.,Two people are watching an entrance.,0
4281,4563177695312,Two guards are sitting near an entrance.,Two guards are standing watch.,1
4336,4914486970112,A man rides his bicycle past the Chung May Food Market.,"A man rides his bicycle in the city, passing food markets and other stores.",1
4337,4914486970111,A man rides his bicycle past the Chung May Food Market.,A man parks his bicycle in front of the Chung May Food Market.,2
4338,4914486970110,A man rides his bicycle past the Chung May Food Market.,A man rides his bicycle past a shop.,0
4483,2704257993212,Three children are skating on a rollerskating rink.,some kids are going skating,1
4484,2704257993211,Three children are skating on a rollerskating rink.,the men are doing yoga,2
4485,2704257993210,Three children are skating on a rollerskating rink.,Three kids are ice skating,0
4558,4822562213010,Three parked taxis with two parked police cars behind them.,The police cars are in front of the taxis.,0
4559,4822562213011,Three parked taxis with two parked police cars behind them.,The taxis are being towed away.,2
4560,4822562213012,Three parked taxis with two parked police cars behind them.,The taxis are yellow.,1
4666,2888408966310,A skateboarder jumping in the street.,A skateboarded ollied in the street.,0
4667,2888408966312,A skateboarder jumping in the street.,A skateboarder is doing tricks on a quiet street.,1
4668,2888408966311,A skateboarder jumping in the street.,A person is jumped his snowboard.,2
4699,2348557363211,A young boy climbs a spiral staircase in a room full of books.,A boy is going downstairs.,2
4700,2348557363210,A young boy climbs a spiral staircase in a room full of books.,A boy is going upstairs.,0
4701,2348557363212,A young boy climbs a spiral staircase in a room full of books.,A boy is going upstairs in a library.,1
4764,6044840724011,A young man in a white button shirt and black pants assesses a washer in a laundromat.,He is assessing a dryer.,2
4765,6044840724010,A young man in a white button shirt and black pants assesses a washer in a laundromat.,The man is going to do laundry.,0
4766,6044840724012,A young man in a white button shirt and black pants assesses a washer in a laundromat.,The man is wearing a necktie.,1
4776,487423680411,Two young girls pick daffodils.,Two children plant flowers in a garden.,2
4777,487423680412,Two young girls pick daffodils.,Two little girls pick flowers from several different types of flower.,1
4778,487423680410,Two young girls pick daffodils.,Two girls pick flowers outside.,0
4824,234265703211,4 people standing next to a fire cooking a meal,The four people are sleeping in bed.,2
4825,234265703212,4 people standing next to a fire cooking a meal,The group is a family with two children.,1
4826,234265703210,4 people standing next to a fire cooking a meal,The group is waiting for the food to be done.,0
4827,234265703412,People cooking at a campsite.,workers are on a corporate retreat,1
4828,234265703411,People cooking at a campsite.,people are eating at applebee's,2
4829,234265703410,People cooking at a campsite.,friends are out camping,0
4833,3051529200210,A woman walks in front of a wall plastered with advertisements.,A woman walks in front a wall covered in papers.,0
4834,3051529200211,A woman walks in front of a wall plastered with advertisements.,A woman stands in front of a wall covered in pictures.,2
4835,3051529200212,A woman walks in front of a wall plastered with advertisements.,A woman walks past a wall covered in advertisements for the local car wash.,1
4901,1780384960311,A group of cheerleaders if red outfits.,The cheerleaders are all wearing the mascot suit.,2
4902,1780384960310,A group of cheerleaders if red outfits.,The cheeleaders are wearing their red school colors.,0
4903,1780384960312,A group of cheerleaders if red outfits.,The cheerleaders are doing a practice routine.,1
5003,4672056076412,Young man standing on one hand in front of an audience.,The crowd applauded the young man for standing on one hand.,1
5004,4672056076411,Young man standing on one hand in front of an audience.,The young man played his guitar.,2
5005,4672056076410,Young man standing on one hand in front of an audience.,The young adult stood on one hand during his performance.,0
5111,6832467280411,A young kid is skateboarding at a skate park.,The boy is afraid of skating.,2
5112,6832467280412,A young kid is skateboarding at a skate park.,There's a kid skateboarding down the road.,1
5113,6832467280410,A young kid is skateboarding at a skate park.,The boy is playing at the skate park.,0
5165,3608022021210,A woman playing on an oversize checkers board.,A woman plays on a giant black-and-red checkerboard.,0
5166,3608022021211,A woman playing on an oversize checkers board.,A kid plays speed checkers with his buddy on a tiny magnetic checkerboard.,2
5167,3608022021212,A woman playing on an oversize checkers board.,A woman musician plays her guitar while strolling along a giant black-and-red checkerboard floor.,1
