,guid,premise,hypothesis,label
178,1148238960242,Bicyclists waiting at an intersection.,The bicyclists are riding to the book store.,1
573,2096485764410,A barber waiting for customers.,A barber is at work.,0
875,6454325817312,A woman is running a marathon in a park.,The woman is running fast.,1
1202,2865376471212,Two large dogs greet other while their owners watch.,the dogs talk in their own language,1
1884,294443417410,A little kid enjoying some sledding on a winter day.,There is snow on the ground.,0
2086,1873655403240,Three male workers in bright jackets are working in a field with shovels.,Men are digging.,0
2227,3615239961412,"A man sits on a deck, taking a break from fishing.",A man sits on a deck with his fishing pole nearby.,1
2313,3217910740412,A woman helps boys on a computer.,The boy is writing his English paper.,1
2517,3661659196111,A girl is on a stool while another girl is reading and leaning on some lockers,Two girls are getting books out of their lockers.,2
2689,3654402537111,A woman in a white dress sits while another woman blow dries her hair.,A lady is getting ready for a banquet.,2
2844,5389902618110,"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",A lady holds fabric while another woman points at the camera.,0
3224,8664922112,"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",the man is a chef,1
3345,6317524663140,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",Young boy performs folk song for a crowd,0
3434,3178442303212,Little boy happily holds red booklet near rows of folding-chairs.,The alter boy cleans up after the church service.,1
3654,4676087367111,"A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.",a man is happily wearing his beer cap outside,2
4223,4361879526110,Two men are sitting on some scaffolding and painting a wall.,The men are making the wall look better.,0
4776,487423680411,Two young girls pick daffodils.,Two children plant flowers in a garden.,2
5009,4672056076210,A guy is on one hand throwing his feet up surrounded by a crowd.,A man performs tricks for a crowd.,0
5315,3914087743112,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",the one mending the arm is a trained medic,1
5320,3914087743151,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",A bull escapes from the rodeo.,2
5454,4532277525310,Man in black prepares to celebrate his birthday by blowing out the candles on his cake.,A man is celebrating the day of his birth.,0
5698,2731813962410,a family sitting on some wooden stairs.,A house build with wooden stairs and the family is enjoying sitting on them,0
