premise,hypothesis,label,unique_id
A man dances with a fire baton at night.,the crowd cheers as he peforms,1,1_14a
A man dances with a fire baton at night.,the woman does a hula dance,2,1_14b
A man dances with a fire baton at night.,the man is dancing,0,1_14c
Two older men are talking.,Two people are having a conversation.,0,1_19a
Two older men are talking.,Men are exchanging ideas.,1,1_19b
Two older men are talking.,A crowd is talking over each other.,2,1_19c
A man in a tan suit is using a pay phone to make a call.,Everyone is using a cell phone.,2,1_56a
A man in a tan suit is using a pay phone to make a call.,Someone is on a phone.,0,1_56b
A man in a tan suit is using a pay phone to make a call.,The phone receiver is black.,1,1_56c
Men in uniform work together.,Uniformed men work.,0,1_71a
Men in uniform work together.,Men in beach clothes work by themselves at the park.,2,1_71b
Men in uniform work together.,Uniformed men work together outside.,1,1_71c
a child is paddleboarding outdoors,A child goes paddleboarding for the first time.,1,1_107a
a child is paddleboarding outdoors,An old man falls off a paddleboard.,2,1_107b
a child is paddleboarding outdoors,A small human in the water.,0,1_107c
a large black dog fighting with another large brown and black dog.,the cat is sleeping on the woman,2,1_117a
a large black dog fighting with another large brown and black dog.,There are some dogs that are fighting,0,1_117b
a large black dog fighting with another large brown and black dog.,The dogs are just playing,1,1_117c
A man in a hooded sweatshirt sitting on a toolbox.,A man is sitting.,0,1_213a
A man in a hooded sweatshirt sitting on a toolbox.,A man runs a race.,2,1_213b
A man in a hooded sweatshirt sitting on a toolbox.,A workman eats lunch.,1,1_213c
A little boy climbs a spiral staircase in a cluttered library.,a boy is in the library,0,1_236a
A little boy climbs a spiral staircase in a cluttered library.,the boy is swinging on a tire,2,1_236b
A little boy climbs a spiral staircase in a cluttered library.,the boy is there to study,1,1_236c
A young kid is skateboarding at a skate park.,The boy is afraid of skating.,2,1_257a
A young kid is skateboarding at a skate park.,There's a kid skateboarding down the road.,1,1_257b
A young kid is skateboarding at a skate park.,The boy is playing at the skate park.,0,1_257c
People are walking down a street in a city.,The people are going to a city-wide festival.,1,1_306a
People are walking down a street in a city.,The people are riding on an elevator.,2,1_306b
People are walking down a street in a city.,The people are outside walking.,0,1_306c
A man is sitting on steps with his legs crossed with a green scarf.,A man sitting on steps waiting for a cab.,1,1_317a
A man is sitting on steps with his legs crossed with a green scarf.,A man standing on steps with a red scarf.,2,1_317b
A man is sitting on steps with his legs crossed with a green scarf.,A person sitting on steps.,0,1_317c
It appears they are setting up for the meet.,the people are moving things,0,1_377a
It appears they are setting up for the meet.,the people are meeting on Mars,2,1_377b
It appears they are setting up for the meet.,the people are working together,1,1_377c
A team dressed in blue uniforms huddles on a playing field.,The team is wearing green.,2,1_484a
A team dressed in blue uniforms huddles on a playing field.,The team is outdoors.,0,1_484b
A team dressed in blue uniforms huddles on a playing field.,There is a soccer team on the field.,1,1_484c
Several children leaping into a pile of leaves on the ground.,"After raking, the children jumped in to the leaves.",1,1_639a
Several children leaping into a pile of leaves on the ground.,The child jumped into the leaves.,2,1_639b
Several children leaping into a pile of leaves on the ground.,The children leaped into a pile of leaves.,0,1_639c
A little boy in a yellow shirt walking on stones.,A boy is playing on a sidewalk.,1,1_690a
A little boy in a yellow shirt walking on stones.,A boy is riding in a car.,2,1_690b
A little boy in a yellow shirt walking on stones.,A boy is outside.,0,1_690c
A fashionable young woman walking through green-houses.,The well dressed woman is looking at plants in the greenhouse,0,1_776a
A fashionable young woman walking through green-houses.,The woman is sleeping in the green house,2,1_776b
A fashionable young woman walking through green-houses.,A rich woman may be considering purchasing plants,1,1_776c
A man wearing a blue coat and jeans eating a hotdog.,A man in shorts eating a pizza.,2,1_813a
A man wearing a blue coat and jeans eating a hotdog.,A person eating a hotdog in a mall food court.,1,1_813b
A man wearing a blue coat and jeans eating a hotdog.,A person eating some food.,0,1_813c
