,guid,premise,hypothesis,label
97,190083339222,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,1
194,1148238960340,People waiting at a light on bikes.,Men and women outside on a street corner.,0
479,6822696890012,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Some wheelchair basketball players playing the basketball match.,1
681,5054184499011,"Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.",2 people are on the path.,2
801,5684720360210,A blond woman with two children is checking out at a Walmart register.,A mother is with her two children at walmart,0
921,4593716344112,A young Asian man sits behind a set chessboard waiting for the other player to arrive.,A young man is indoors.,1
1310,4678920190211,Asian city scene of people in street with bright lights and glass buildings behind.,City streetwalkers,2
1515,3375014075410,A person in a red coat and a running black and brown dog.,A person in a red dress is running behind a black animal.,0
1674,111285749120,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,The people are outdoors.,0
1884,294443417410,A little kid enjoying some sledding on a winter day.,There is snow on the ground.,0
2180,1321651400432,Woman sitting in tree with dove.,Some birds are in a tree.,1
2405,378336163410,A man jumping up in the snow next to a body of water.,It is snowing.,0
2591,4926115712212,a woman in a coat watching a man in a jacket kick balls.,A woman is watching a sporting event.,1
2689,3654402537111,A woman in a white dress sits while another woman blow dries her hair.,A lady is getting ready for a banquet.,2
2739,6950137939212,Two teams compete in a game of football and are hurrying to catch the ball midair.,two teams chasing a football.,1
3054,2525455265311,A girl sitting on a bench amongst the grass,A girl is having a picnic,2
3146,3329777647410,Two dogs chase another dog that has a ball.,The dogs all want the same ball.,0
3438,2487069642211,A flight attendant is demonstrating safety devices.,A worker is on the plane,2
3604,247248892310,A man holds up a fish he just caught.,He found a great place to fish.,0
3654,4676087367111,"A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.",a man is happily wearing his beer cap outside,2
3933,6545713889411,Two young adults are enjoying time in the snow.,Two adults are sitting in the snow.,2
4075,3462064866112,"Several people, all wearing sunglasses, are captured jumping into the air and making funny poses on a sandy beach area near a log.",the people are in the sun,1
4233,5648828783111,"A man and a woman are standing near a grill, and the man is torching meat with a small blowtorch.",A man and woman are grilling in the rain.,2
4467,4944826636211,A man in a dark jacket and a hat reading a paper while leaning.,A man is reading a newspaper on a train.,2
4872,4652704643310,The woman is fixing her shoes while the man looks at his cellphone.,A woman stops to tie her show and her husband is checking his phone.,0
5476,4532277525411,The man has a cake decorated with indoor fireworks.,The cake was very delicious.,2
5578,2862704719312,Several people cooking at a grill in a kitchen.,People are grilling.,1
5907,3335660166411,A group of people living on the street.,A group of homeless people scavenge for food.,2
6030,2866686547310,Two girls in jerseys running toward a soccer ball,The girls are playing soccer.,0
6385,2723963432310,Two grinning girls in white jump on a green sofa.,The girls are standing.,0
