,guid,premise,hypothesis,label
56,4950996568210,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,0
721,4943185444311,Man on the sidewalk sitting on a motorcycle.,A man driving his car,2
1183,97162852112,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing a shirt sewing some jeans.,1
1218,3678100844012,A lady with sunglasses on her head and a green sweatshirt is looking off-camera.,A woman is taking a break from a photo shoot.,1
1816,4467634558040,"Three young children consisting of two girls and a boy who is holding an apple with a bite out of it, are posing on a scenic mountain view background.",Girls and boys are having fun outdoors,0
1851,3723840426112,"Two men cook together with a metal bowl, near a hanging plant.",Two men cooking together,1
1904,1145810912242,Child in red and blue shirt painting a log.,A child in a plaid shirt is painting.,1
2070,1873655403152,"Three male construction workers are examining something in a field, two of them are holding shovels.",Three male construction workers hold shovels as they examine something in a field.,1
2086,1873655403240,Three male workers in bright jackets are working in a field with shovels.,Men are digging.,0
2115,3564738125212,Two people walk along the side of a snowy mountain.,People are strolling on a mountain.,1
2511,2060472076412,An elderly male is reaching for a crate.,A man and a crate,1
3200,7550561674112,"An African American base player wearing a blue shirt, being backed up by a drummer.",An African American base payer and a drummer are wearing blue shirts.,1
3414,3332467180111,A man in a white restaraunt shirt smokes next to a dumpster.,A man is cooking for a customer.,2
3496,2088891100110,A man wearing sunglasses playing an acoustic guitar.,A man standing outside.,0
3863,2978540629142,Children ride a balloon ride in an amusement park.,10 people in a ride,1
4360,4928783075412,Young boy flying a toy airplane in an open field of hay.,The little boy was playing with his toy airplane.,1
4865,4652704643410,A man and woman in a parking lot at night.,A man and a woman are heading to their cars.,0
4870,6749663099310,"There is a man asleep, at the door of a barber shop.",There is a man asleep in a doorway.,0
5204,504370167211,A boy smiles while he loads up his toy with fake bullets.,A boy plays with his toy car.,2
6157,2892989340311,A boy on a surfboard in midair.,The boy is on the beach.,2
6477,146903144041,Aid big guy wearing an orange jumpsuit is talking to a skinny lady who's dressed up with a long skirt is standing on the freeway looking at the red Motorcycle that crash,everyone is happy and laughing.,2
7075,4779910502012,"A distressed couch sits in front of a graffiti-covered wall, while a woman looks and smiles.",She is outdoors.,1
8277,456299217322,A girl sits outside at a large fountain.,A child sits outside at a large fountain.,1
8358,4572160708422,A woman is taking a picture.,A woman holds a camera.,1
8727,2146600736310,Woman in yellow costume smiling.,Woman in costume is happy.,0
8767,4616320530312,A boy in a yellow shirt runs in a race.,A boy is outside.,1
9215,434792818142,A man and woman stand in front of a large red modern statue.,A couple stands in front of a large statue.,1
9305,3065560742212,"A boy playing hockey lies on the ice, injured.",hockey player playing,1
9607,4569866594212,A large crowd of people stand at the start line of a race.,The crowd is at the race,1
10513,1419062069032,"A man in a suit, sitting behind a desk covered with radio paraphernalia, speaks into a microphone.",A man is using radio equipment to communicate.,1
11052,3172283002342,Four people posing for a picture,A group of people have a camera pointed at them.,1
12792,3139389284210,A small dog jumping on a street.,A dog is having fun running on the street,0
12879,4524227478320,A brunette woman wearing tennis shoes sitting on steps.,A lady is sitting down outside.,0
12881,4524227478340,A brunette woman wearing tennis shoes sitting on steps.,A woman wearing shoes is sitting.,0
13290,4175738621312,A male participant in an Islamic wedding celebration.,man at wedding,1
13380,4958552471212,A person laying down on the grass with their eyes closed.,Some people are lounging around.,1
13749,2107951699111,"A seated, older woman finishing a painting of a group of African women.",The woman is standing next to her freshly carved sculpture.,2
14049,3666796674012,A woman in jeans is walking past a woman dressed in red in a plaza.,Both females are walking to a destination.,1
14110,4807335056112,Two young women wearing bikini tops and denim shorts walk along side an orange VW Beetle.,Two young women are getting inside the VW Beetle,1
14373,4287004211012,A person wearing red is at the forefront of an underdeveloped city with man hanging cloths visible.,The person is outside.,1
14378,2747436384011,Four young men are sitting on the beach under a crashing wave.,Some people are sleeping.,2
14902,6191516871110,A grand master and students in a martial arts class bow towards each other in a gesture of respect for each other and the sacred art.,The group are inside a martial arts studio.,0
