premise,hypothesis,label
There is a blond female office and a male brown headed officer standing in front of a pole talking.,The officers are exchanging phone numbers.,1
A cyclist on a neon yellow bike is airborne.,the cyclist is on a black bike,2
A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement.,A man is sweeping the sidewalk.,0
A skateboard rides up the ramp and does a trick in midair.,A robotic skateboard does tricks for a crowd.,1
A violinist playing at a local bar.,A person is playing a violin.,0
A woman wearing red sneakers walking a black dog.,A lady is walking her pet.,0
"A smiling girl is holding a white umbrella with the word ""HOOD!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",A girl is at school sitting at her desk.,2
A baby wrapped in blankets is tucked into a metal wagon.,A baby is wrapped in a blanket.,0
Four children climbing up a snow covered hill.,Four children climb up an Icy palace in the Norwegian countryside,2
A woman fiddles with her phone at a diner.,she is using her phone while eating,0
Two people stand beside a brightly lit railway passage.,Passengers await the arrival of the train.,1
Two guys in blue jumpsuits sit on a boat with lots of equipment.,Two men are preparing a fishing trip.,1
Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood.,Two men and two children are walking to the ice cream shop.,1
A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.,A tall man holds something,1
Two kids are dressed up and playing in the water.,Two kids dressed as fish for Halloween try to swim for the first time.,1
A crowd gathers in the street to watch a performer roll a chrome ball over his body.,a street performer juggles apples to a crowd.,2
A girl smiles and a boy looks up at her.,A girl and boy meet eachother on a date.,0
Skateboard rider balancing on a rock on his skateboard.,The skateboarder is doing a trick.,0
An extreme bicyclist hangs in the air with the sky in the background.,woman bowling,2
A football is airborne near a man in gray sweatpants and some other people.,The man is lying in bed.,2
A group of people in a sack race.,A family sits at a dinner table holding hands.,2
Telephone wires are visible.,The wires carry information,0
two people sit on a bench.,There are multiple humans who are not standing.,0
A band with two women and one man is on stage playing music.,A music group is performing a song.,0
A woman in black is taking a picture of 5 children sitting on the ground.,The woman hates kids.,2
A hockey player guards the goal.,A player guards the goal.,0
A crowd of runners have just begun their race.,People are racing.,0
A girl is holding a bottle of wine or champagne and smiling.,Kid smiling while holding alcohol,0
A black dog wearing a harness is pulling a sled.,The black dog was first in the sled race.,1
A black high jumper performing a jump over a pole.,A white high jumper standing.,2
A policewoman directs traffic.,A crossing guard is directing traffic.,2
A little girl is sitting on a toy tractor.,A girl sitting on her dads tractor toy,1
Brown-haired male running and competing in a race.,A male runs in a race.,0
There are several people going up the escalator.,People are inside an elevator,2
Small Asian boy with a yellow hat on pointing to his forehead.,A young boy is pointing at his arm.,2
A class full of college students sit in a classroom listening to a presentation.,High school students are in class.,2
The red car is ahead of the two cars in the background.,There are three cars.,0
A woman in a jacket looking at a lake.,Someone is looking at scenery.,0
A hiker carrying an American flag.,A person has the United States Flag.,0
A young boy playing with an improvised toy.,The boy is playing with his toy.,0
A man wearing a reflective vest and a hard hat holds a flag in the road,A cat chases a mouse.,2
A group of musicians performing in the street.,The musicians are performing at Carnegie Hall.,2
A young blond-haired woman is wearing a Bull's athletic uniform with the number nineteen on it.,the woman is wearing her team's uniform,1
A girl in motion on snow-covered ground.,A girl is in the snow,0
