unique_id,true_label,model_0_predicted_label,model_0_accuracy,model_1_predicted_label,model_1_accuracy,model_2_predicted_label,model_2_accuracy,model_3_predicted_label,model_3_accuracy,difficulty_score
4_1a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_1b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_1c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_2a,1,2,0.0,2,0.0,1,1.0,2,0.0,0.25
4_2b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_2c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_3a,2,1,0.0,2,1.0,2,1.0,2,1.0,0.75
4_3b,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
4_3c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_4a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_4b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_4c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_5a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_5b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_5c,1,1,1.0,1,1.0,0,0.0,0,0.0,0.5
4_6a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_6b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_6c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_7a,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
4_7b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
4_7c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_8a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_8b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_8c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_9a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_9b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_9c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_10a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_10b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_10c,2,1,0.0,1,0.0,1,0.0,1,0.0,0.0
4_11a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_11b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_11c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_12a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_12b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_12c,1,1,1.0,2,0.0,1,1.0,1,1.0,0.75
4_13a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_13b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_13c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_14a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_14b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_14c,1,1,1.0,0,0.0,1,1.0,0,0.0,0.5
4_15a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_15b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_15c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_16a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_16b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_16c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_17a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_17b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_17c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_18a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_18b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_18c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_19a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_19b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_19c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_20a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_20b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_20c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_21a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_21b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
4_21c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
4_22a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
4_22b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
