,guid,premise,hypothesis,label
289,3706019259212,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1
330,6630195863041,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a wedding.,2
367,2832076014110,A Land Rover makes its way through a deep pond.,A car drives through the water.,0
415,3827316480211,Two young girls are playing outside in a non-urban environment.,"Some girls are running on the sidewalk, next to some parked cars.",2
924,2635023078412,"Two young men drink beer, leaning on a graffitied wall.",The men are standing in urine.,1
1069,4671126676111,A young woman frolicking on the lawn in front of the us capitol building.,A young woman having a picnic on the lawn in front of the capitol building.,2
1210,3678100844312,A woman with dark hair is wearing a green sweater.,A woman with black hair is wearing a sweater.,1
1288,222759342212,a young girl in a flowery dress surrounded by watermelons,There are some citrus fruit.,1
1676,111285749111,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.,A creepy guy is putting his favorite photos of the woman he's stalking up in his shrine to her.,2
1765,527272653011,the three boys are all holding onto a flotation device in the water.,The three boys are surfing.,2
1879,3308132698011,"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The woman wearing a tiara is getting married.,2
2020,1597557856022,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,A Corgi walks toward the camera.,1
2313,3217910740412,A woman helps boys on a computer.,The boy is writing his English paper.,1
2332,3532593368411,people raise their hands.,The people are being rude.,2
2509,2060472076311,Man stacking wooden crates on top of each other.,A man stacks crates next to each other.,2
2684,4357695000312,Beautiful young lady striking an artistic pose.,The woman is lying down.,1
2746,6950137939112,A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing frisbee.,1
3327,2745487323211,Three older men playing live music in a grand hall.,A trio of jazz muscicians performing at a nightclub.,2
3331,2473737724212,Two children perform a karate move on a red mat.,Two children are arguing and fighting each other.,1
3508,216172386411,A motocross biker about to descend,A biker waits for his turn to race.,2
3941,6545713889111,A man is lying in snow laughing while a female is looking on.,The couple is in equador.,2
