,guid,premise,hypothesis,label
0,3416050480412,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1
230,1148238960442,three bikers stop in town.,cars stop in town,1
273,3691765410411,A boat worker securing line.,The boat worker is swimming in the ocean.,2
1026,2644916196442,Toddler with milk around his mouth.,The toddler with milk around his mouth is making a mess.,1
1316,3616927733012,A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.,A man is painting a landscape of a city.,1
1455,7302659678112,A man with a gray shirt holds a young infant in his hands.,The man is holding his child.,1
2056,1873655403031,3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,None of the construction workers have shovels.,2
2526,267593659140,Two men in baseball hats and bright yellow shirts work behind a fence.,Two men work.,0
2651,4853180757411,Man helping passengers get on tour boat.,The tour boat is sinking.,2
2723,6012829906412,A boogie boarder surfs on a man made wave.,The person is at a water park.,1
2741,6950137939311,Players from two teams tangle together in pursuit of a flying rugby ball.,One team practicing rugby.,2
2829,7400312926210,A man holds onto a tether as he waterskis splashing water every direction!,a man watersking,0
3327,2745487323211,Three older men playing live music in a grand hall.,A trio of jazz muscicians performing at a nightclub.,2
3380,4784866019310,Many people are dunking to support Special Olympics.,Several people are in close proximity to each other.,0
3406,3497238310312,some young men playing basketball,The young men play on a court.,1
3619,5054184499251,A little girl walking down a dirt road behind a group of other walkers.,The little girl is riding a bike.,2
3714,4782294624111,Some girls are dressed in zombie makeup.,These are zombies.,2
4356,6177260197012,A local swimmer is wearing a swim cap and swim goggles while swimming in a lake.,the lake is cold,1
4753,3439382048012,A bald man is attempting to slam dunk a basketball in a game while people in the stands watch.,Michael Jordan shows he still got it when he slam dunks for an exhibition game.,1
5055,2797640772410,Musicians playing to a crowd of people on the street.,There are people.,0
5209,504370167312,A smiling young boy loads a foam gun with darts.,A smiling young boy playing with his new birthday present.,1
5297,484443289212,A man and woman standing under a covered patio with the sun beaming through the trellis slats.,Two people are standing in the sun on their newly constructed patio.,1
5349,2635509973012,A young boy wearing a red shirt with yellow writing on it and a red sports cap is squatted in shallow water and touching a yellow pail filled with sand.,"Trying to get the attention of his parents, the little red-shirted imp continued to dig handfuls of sand out of the yellow bucket and hurl them at the people lying on the beach.",1
6002,4550532403110,A man in a collared shirt talking to another man in sunglasses.,Two men are talking.,0
6231,3944497603311,person in orange clothing lying on a wall,The person is wearing a pink rain coat while running through the forest.,2
